company,date,environment,governance,riskscore,social,stock,symbol
The Coca-Cola Company,"Aug 31, 2020",0.5,4.3,11,6.5,48.97,KO
The Coca-Cola Company,"Jul 31, 2020",0.5,4.3,11,6.5,49.13,KO
The Coca-Cola Company,"Jun 30, 2020",0.5,4.3,11,6.5,46.86,KO
The Coca-Cola Company,"May 31, 2020",0.5,4.3,11,6.5,43.92,KO
The Coca-Cola Company,"Apr 30, 2020",0.5,4.3,11,6.5,45.89,KO
The Coca-Cola Company,"Mar 31, 2020",0.5,4.3,11,6.5,45.11,KO
The Coca-Cola Company,"Mar 01, 2020",0.5,4.3,11,6.5,43.12,KO
The Coca-Cola Company,"Feb 01, 2020",0.5,4.3,11,6.5,52.13,KO
The Coca-Cola Company,"Jan 01, 2020",0.5,4.3,11,6.5,56.91,KO
The Coca-Cola Company,"Dec 01, 2019",0.5,4.3,11,6.5,53.94,KO
The Coca-Cola Company,"Oct 31, 2019",0.5,4.3,11,6.5,51.65,KO
The Coca-Cola Company,"Sep 30, 2019",0.5,4.3,11,6.5,52.65,KO
The Coca-Cola Company,"Aug 31, 2019",0.5,4.3,11,6.5,52.28,KO
The Coca-Cola Company,"Jul 31, 2019",0.5,4.3,11,6.5,52.85,KO
The Coca-Cola Company,"Jun 30, 2019",0.5,4.3,11,6.5,50.54,KO
The Coca-Cola Company,"May 31, 2019",0.5,4.3,11,6.5,48.52,KO
The Coca-Cola Company,"Apr 30, 2019",0.5,4.3,11,6.5,46.81,KO
The Coca-Cola Company,"Mar 31, 2019",0.5,4.3,11,6.5,46.74,KO
The Coca-Cola Company,"Mar 01, 2019",0.5,4.3,11,6.5,44.26,KO
The Coca-Cola Company,"Feb 01, 2019",0.5,4.3,11,6.5,42.83,KO
The Coca-Cola Company,"Jan 01, 2019",0.5,4.3,11,6.5,45.46,KO
The Coca-Cola Company,"Dec 01, 2018",0.5,4.3,11,6.5,44.73,KO
The Coca-Cola Company,"Oct 31, 2018",0.5,4.3,11,6.5,47.23,KO
The Coca-Cola Company,"Sep 30, 2018",0.5,4.3,11,6.5,44.87,KO
The Coca-Cola Company,"Aug 31, 2018",0.5,4.3,11,6.5,42.92,KO
The Coca-Cola Company,"Jul 31, 2018",0.5,4.3,11,6.5,41.42,KO
The Coca-Cola Company,"Jun 30, 2018",0.5,4.3,11,6.5,43.33,KO
The Coca-Cola Company,"May 31, 2018",0.5,4.3,11,6.5,40.40,KO
The Coca-Cola Company,"Apr 30, 2018",0.5,4.3,11,6.5,39.60,KO
The Coca-Cola Company,"Mar 31, 2018",0.5,4.3,11,6.5,39.80,KO
The Coca-Cola Company,"Mar 01, 2018",0.5,4.3,11,6.5,39.65,KO
The Coca-Cola Company,"Feb 01, 2018",0.5,4.3,11,6.5,39.46,KO
The Coca-Cola Company,"Jan 01, 2018",0.5,4.3,11,6.5,43.45,KO
The Coca-Cola Company,"Dec 01, 2017",0.5,4.3,11,6.5,41.89,KO
The Coca-Cola Company,"Oct 31, 2017",0.5,4.3,11,6.5,41.45,KO
The Coca-Cola Company,"Sep 30, 2017",0.5,4.3,11,6.5,41.64,KO
The Coca-Cola Company,"Aug 31, 2017",0.5,4.3,11,6.5,40.44,KO
The Coca-Cola Company,"Jul 31, 2017",0.5,4.3,11,6.5,40.92,KO
The Coca-Cola Company,"Jun 30, 2017",0.5,4.3,11,6.5,41.18,KO
The Coca-Cola Company,"May 31, 2017",0.5,4.3,11,6.5,39.96,KO
The Coca-Cola Company,"Apr 30, 2017",0.5,4.3,11,6.5,40.52,KO
The Coca-Cola Company,"Mar 31, 2017",0.5,4.3,11,6.5,38.45,KO
The Coca-Cola Company,"Mar 01, 2017",0.5,4.3,11,6.5,37.49,KO
The Coca-Cola Company,"Feb 01, 2017",0.5,4.3,11,6.5,37.06,KO
The Coca-Cola Company,"Jan 01, 2017",0.5,4.3,11,6.5,36.72,KO
The Coca-Cola Company,"Dec 01, 2016",0.5,4.3,11,6.5,37.10,KO
The Coca-Cola Company,"Oct 31, 2016",0.5,4.3,11,6.5,35.34,KO
The Coca-Cola Company,"Sep 30, 2016",0.5,4.3,11,6.5,37.14,KO
The Coca-Cola Company,"Aug 31, 2016",0.5,4.3,11,6.5,36.77,KO
The Coca-Cola Company,"Jul 31, 2016",0.5,4.3,11,6.5,37.73,KO
The Coca-Cola Company,"Jun 30, 2016",0.5,4.3,11,6.5,37.90,KO
The Coca-Cola Company,"May 31, 2016",0.5,4.3,11,6.5,39.08,KO
The Coca-Cola Company,"Apr 30, 2016",0.5,4.3,11,6.5,38.45,KO
The Coca-Cola Company,"Mar 31, 2016",0.5,4.3,11,6.5,38.63,KO
The Coca-Cola Company,"Mar 01, 2016",0.5,4.3,11,6.5,39.69,KO
The Coca-Cola Company,"Feb 01, 2016",0.5,4.3,11,6.5,36.90,KO
The Coca-Cola Company,"Jan 01, 2016",0.5,4.3,11,6.5,36.72,KO
The Coca-Cola Company,"Dec 01, 2015",0.5,4.3,11,6.5,36.75,KO
